BNet_UI,Status,ProbeKit,DNA_Yield,DateExtracted,ID,Family,Subfamily,Tribe,Section,Genus,Species,Subspecies,Tissue,QubitAssayConcentration,QubitStockConcentration,FullName,ValidName,DateSentToRapid,Sequence Successful,ExtractedBy,Contributor,ProjectCode,Type ,DNA_Fragmentation,Notes
BN000759,sequenced,13,good,4/12/2017,Rvcoll15D123,Hesperiidae,Pyrginae,Carcharodini,,Spialia,mafa,,Thorax,0.0914,18.3,Spialia mafa,Spialia mafa,7/10/2017,,K. Dexter,Roger Vila,Hesp,,,
BN000760,sequenced,13,good,4/12/2017,Rvcoll14T917,Hesperiidae,Pyrginae,Carcharodini,,Spialia,occidentalis,,Thorax,0.025,5,Spialia occidentalis,Spialia occidentalis,7/10/2017,,K. Dexter,Roger Vila,Hesp,,,
BN000761,sequenced,13,good,4/12/2017,RVcoll07C508,Hesperiidae,Pyrginae,Carcharodini,,Spialia,orbifer,,Thorax,0.0448,8.96,Spialia orbifer,Spialia orbifer,7/10/2017,,K. Dexter,Roger Vila,Hesp,,,
BN000762,sequenced,13,good,4/12/2017,RVcoll14F439,Hesperiidae,Pyrginae,Carcharodini,,Spialia,phlomidis,,Thorax,0.0734,14.7,Spialia phlomidis,Spialia phlomidis,7/10/2017,,K. Dexter,Roger Vila,Hesp,,,
BN000763,sequenced,13,good,1/16/2017,BN-SZS-00197,Hesperiidae,Pyrginae,Carcharodini,,Spialia,ploetzi,occidentalis,Thorax,0.0985,19.7,Spialia ploetzi,Spialia ploetzi,7/10/2017,,K.Dexter,M. Espeland,Hesp,,,
BN000764,sequenced,13,good,4/12/2017,RVcoll09V459,Hesperiidae,Pyrginae,Carcharodini,,Spialia,rosae,,Thorax,0.0425,8.5,Spialia rosae,Spialia rosae,7/10/2017,,K. Dexter,Roger Vila,Hesp,,,
BN000765,duplicate,NA,good,,390,Hesperiidae,Pyrginae,Carcharodini,,Spialia,sertorius,,,0.087,17.4,Spialia sertorius,Spialia sertorius,--,--,Andy Warren,Andy Warren,--,,,
BN000766,sequenced,13,good,9/15/2017,ME-13-E318,Hesperiidae,Pyrginae,Carcharodini,,Spialia,spio,,Thorax,0.354,70.8,Spialia spio,Spialia spio,3/5/2018,,K. Dexter,MCZ,Hesp,,,2 genes
BN000767,sequenced,13,good,4/12/2017,RVcoll11E770,Hesperiidae,Pyrginae,Carcharodini,,Spialia,therapne,,Thorax,0.0607,12.1,Spialia therapne,Spialia sertorius,7/10/2017,,K. Dexter,Roger Vila,Hesp,,,
BN000768,sequenced,450,good,,82,Hesperiidae,Pyrginae,Carcharodini,,Staphylus,ceos,,,0.0415,8.3,Staphylus ceos,Staphylus ceos,6/27/2017,,Andy Warren,Andy Warren,Hesp,,,
BN000769,sequenced,13,good,9/15/2017,RV-05-M369,Hesperiidae,Pyrginae,Carcharodini,,Staphylus,cordillerae,,Thorax,0.413,82.6,Staphylus cordillerae,Staphylus cordillerae,3/5/2018,,K. Dexter,MCZ,Hesp,,,
BN000770,sequenced,450,good,,94,Hesperiidae,Hesperiinae,Hesperiini,,Stinga,morrisoni,,,0.0533,10.7,Stinga morrisoni,Stinga morrisoni,6/27/2017,,Andy Warren,Andy Warren,Hesp,X,,
BN000771,sequenced,450,good,12/28/2016,DL-16-V135,Hesperiidae,Hesperiinae,Erionotini,,Suada,swerga,suava,Thorax,0.127,25.4,Suada swerga,Suada swerga,6/27/2017,,K.Dexter,D. Lohman,Hesp,X,,
BN000772,sequenced,450,good,7/1/2016,LEP 37037  (18 Indo),Hesperiidae,Hesperiinae,Erionotini,,Suastus,gremius,gremius,Thorax,0.565,113,Suastus gremius,Suastus gremius,12/13/2016,Yes,K.Dexter,,Hesp,X,,
BN000773,duplicate,NA,good,8/19/2016,LEP 29002,Hesperiidae,Hesperiinae,Erionotini,,Suastus,gremius,,Legs,0.357,71.4,Suastus gremius,Suastus gremius,--,--,K.Dexter,,--,X,,
BN000774,duplicate,NA,good,10/17/2016,MY-2016-24,Hesperiidae,Hesperiinae,Erionotini,,Suastus,gremius,,Legs,0.138,27.6,Suastus gremius,Suastus gremius,--,--,K.Dexter,Yago,--,X,,
BN000775,sequenced,13,good,9/28/2016,MY-2016-HES-69,Hesperiidae,Hesperiinae,Erionotini,,Suastus,minutus,aditia,Thorax,0.448,89.6,Suastus minutus,Suastus minuta,1/12/2017,Yes,K.Dexter,Yago,Hesp,,,
BN000776,duplicate,NA,good,,594,Hesperiidae,Hesperiinae,Erionotini,,Suastus,minutus,,,0.0296,5.92,Suastus minutus,Suastus minuta,--,--,Andy Warren,Andy Warren,--,,,
BN000777,duplicate,NA,good,1/16/2017,EI-16-D576,Hesperiidae,Hesperiinae,Taractocerini,,Suniana,sunias,sunias,Thorax,0.175,35,Suniana sunias,Suniana sunias,--,--,K.Dexter,D. Lohman,--,,,
BN000778,sequenced,450,good,,380,Hesperiidae,Hesperiinae,Taractocerini,,Suniana,sunias,,,0.0409,8.18,Suniana sunias,Suniana sunias,6/27/2017,,Andy Warren,Andy Warren,Hesp,,,
BN000779,sequenced,13,good,8/16/2017,LEP 53065,Hesperiidae,Hesperiinae,Anthoptini,,Synapte,malitiosa,antistia,Abdomen,0.236,47.2,Synapte malitiosa,Synapte malitiosa,3/12/2018,,K. Dexter,Ana B. B. Morais,Hesp,,,
BN000780,sequenced,450,good,,634,Hesperiidae,Hesperiinae,Anthoptini,,Synapte,silius,,,0.0427,8.54,Synapte silius,Synapte silius,6/27/2017,,Andy Warren,Andy Warren,Hesp,,,
BN000781,sequenced,450,good,12/2/2016,LEP 40102,Hesperiidae,Pyrginae,Pyrgini,,Systasea,zampa,,Thorax,0.242,48.4,Systasea zampa,Systasea zampa,12/13/2016,Yes,K.Dexter,,Hesp,,,
BN000782,sequenced,13,good,12/2/2016,LEP 37058,Hesperiidae,Pyrginae,Tagiadini,,Tagiades,calligana,,Thorax,0.284,56.8,Tagiades calligana,Tagiades calligana,1/12/2017,Yes,K.Dexter,,Hesp,,,
BN000783,sequenced,13,good,1/16/2017,FH-16-Y022,Hesperiidae,Pyrginae,Tagiadini,,Tagiades,cohaerens,cohaerens,Thorax,0.0354,7.08,Tagiades cohaerens,Tagiades cohaerens,7/10/2017,,K.Dexter,D. Lohman,Hesp,,,
BN000784,duplicate,NA,good,,543,Hesperiidae,Pyrginae,Tagiadini,,Tagiades,flesus,,,0.0307,6.14,Tagiades flesus,Tagiades flesus,--,--,Andy Warren,Andy Warren,--,,,
BN000785,sequenced,450,good,,ME-11-B067,Hesperiidae,Pyrginae,Tagiadini,,Tagiades,flesus,,,,30.2,Tagiades flesus,Tagiades flesus,,Yes,M. Espeland,,,,,Marianne's sequence
BN000786,sequenced,13,good,7/1/2016,LEP 37046 (23 Indo),Hesperiidae,Pyrginae,Tagiadini,,Tagiades,gana,gana,Thorax,0.589,118,Tagiades gana,Tagiades gana,1/12/2017,Yes,K.Dexter,,Hesp,,,
BN000787,sequenced,450,good,8/19/2016,LEP 28936,Hesperiidae,Pyrginae,Tagiadini,,Tagiades,gana,,Thorax,0.113,22.6,Tagiades gana,Tagiades gana,6/27/2017,,K.Dexter,,Hesp,,,
BN000788,duplicate,NA,good,9/28/2016,MY-2016-HES-45,Hesperiidae,Pyrginae,Tagiadini,,Tagiades,gana,gana,Legs,0.101,20.2,Tagiades gana,Tagiades gana,--,--,K.Dexter,Yago,--,,,
BN000789,sequenced,450,good,9/28/2016,MY-2016-HES-28,Hesperiidae,Pyrginae,Tagiadini,,Tagiades,japetus,atticus,Thorax,0.326,65.2,Tagiades japetus,Tagiades japetus,12/13/2016,Yes,K.Dexter,Yago,Hesp,X,,
BN000790,sequenced,13,low,,377,Hesperiidae,Pyrginae,Tagiadini,,Tagiades,nestus,,,0.0108,2.16,Tagiades nestus,Tagiades nestus,3/5/2018,,Andy Warren,Andy Warren,Hesp,,,
BN000791,sequenced,13,good,8/19/2016,LEP 37055 (29a Indo),Hesperiidae,Pyrginae,Tagiadini,,Tagiades,parra,parra,Thorax,0.795,159,Tagiades parra,Tagiades parra,1/12/2017,Yes,K.Dexter,,Hesp,,,
BN000792,sequenced,13,good,10/17/2016,MY-2016-25,Hesperiidae,Pyrginae,Tagiadini,,Tagiades,trebellius,martinus,Legs,0.0628,12.6,Tagiades trebellius,Tagiades trebellius,1/12/2017,Yes,K.Dexter,Yago,Hesp,,,
BN000793,sequenced,13,good,9/28/2016,MY-2016-HES-37,Hesperiidae,Pyrginae,Tagiadini,,Tagiades,ultra,,Legs,0.871,17.4,Tagiades ultra,Tagiades ultra,1/12/2017,Yes,K.Dexter,Yago,Hesp,,,
BN000794,sequenced,13,good,9/28/2016,MY-2016-HES-54,Hesperiidae,Pyrginae,Tagiadini,,Tagiades,vajuna,vajuna,Legs,0.0798,16,Tagiades vajuna,Tagiades litigiosa,1/12/2017,Yes,K.Dexter,Yago,Hesp,,,
BN000795,sequenced,450,good,,513,Hesperiidae,Hesperiinae,Carystini,,Talides,sinois,,,0.0341,6.82,Talides sinois,Talides sinois,6/27/2017,,Andy Warren,Andy Warren,Hesp,X,,
BN000796,sequenced,450,good,9/28/2016,MY-2016-HES-77,Hesperiidae,Pyrginae,Tagiadini,,Tapena,thwaitesi,bornea,Legs,0.0371,7.42,Tapena thwaitesi,Tapena thwaitesi,12/13/2016,Yes,K.Dexter,Yago,Hesp,X,,
BN000797,sequenced,450,good,12/28/2016,DL-10-Z137,Hesperiidae,Hesperiinae,Taractocerini,,Taractrocera,luzonensis,luzonensis,Thorax,0.131,26.2,Taractrocera luzonensis,Taractrocera luzonensis,6/27/2017,,K.Dexter,D. Lohman,Hesp,,,
BN000798,sequenced,13,good,12/28/2016,DL-16-V037,Hesperiidae,Hesperiinae,Taractocerini,,Taractrocera,nigrolimbatus,nigrolimbata,Thorax,0.098,19.6,Taractrocera nigrolimbatus,Taractrocera nigrolimbatus,7/10/2017,,K.Dexter,D. Lohman,Hesp,,,
BN000799,OnGenbank,NA,low,,293,Hesperiidae,Hesperiinae,Taractocerini,,Taractrocera,papyria,,,0.0154,3.08,Taractrocera papyria,Taractrocera papyria,,,Andy Warren,Andy Warren,Hesp,,,9 genes
BN000800,sequenced,450,good,,509,Hesperiidae,Eudaminae,,,Telemiades,fides,,,0.104,20.8,Telemiades fides,Telemiades amphion,6/27/2017,,Andy Warren,Andy Warren,Hesp,,,
BN000801,sequenced,13,low,,327,Hesperiidae,Hesperiinae,Taractocerini,,Telicota,ancilla,,,0.0104,2.08,Telicota ancilla,Telicota ancilla,3/5/2018,,Andy Warren,Andy Warren,Hesp,,,1 gene
BN000802,duplicate,NA,good,7/1/2016,LEP 37035 (16 Indo),Hesperiidae,Hesperiinae,Taractocerini,,Telicota,augias,,Thorax,0.817,163,Telicota augias,Telicota augias,--,--,K.Dexter,,--,,,
BN000803,sequenced,450,good,8/19/2016,LEP 37050 (27a Indo),Hesperiidae,Hesperiinae,Taractocerini,,Telicota,augias,augias,Thorax,0.837,167,Telicota augias,Telicota augias,12/13/2016,Yes,K.Dexter,,Hesp,,,
BN000804,sequenced,13,good,10/12/2016,MY-2016-26,Hesperiidae,Hesperiinae,Taractocerini,,Telicota,colon,hayashikeii,,0.049,9.8,Telicota colon,Telicota colon,1/12/2017,Yes,Yago,Yago,Hesp,X,,
BN000805,sequenced,13,good,,129,Hesperiidae,Hesperiinae,Taractocerini,,Telicota,eurotas,,,0.062,12.4,Telicota eurotas,Telicota eurotas,7/10/2017,,Andy Warren,Andy Warren,Hesp,,,
BN000806,sequenced,13,good,12/28/2016,DL-16-V036,Hesperiidae,Hesperiinae,Taractocerini,,Telicota,linna,,Thorax,0.316,63.2,Telicota linna,Telicota linna,7/10/2017,,K.Dexter,D. Lohman,Hesp,,,
BN000807,duplicate,NA,good,,92,Hesperiidae,Hesperiinae,Taractocerini,,Telicota,nr. colon,,,0.0324,6.48,Telicota nr. colon,Telicota sp,--,--,Andy Warren,Andy Warren,--,,,
BN000808,sequenced,13,good,12/28/2016,DL-16-V279,Hesperiidae,Hesperiinae,Taractocerini,,Telicota,ohara,jix,Thorax,0.111,22.2,Telicota ohara,Telicota ohara,7/10/2017,,K.Dexter,D. Lohman,Hesp,,,
BN000809,sequenced,13,good,1/16/2017,EI-16-D188,Hesperiidae,Hesperiinae,Taractocerini,,Telicota,ternatensis,festa,Thorax,0.0756,15.1,Telicota ternatensis,Telicota ternatensis,7/10/2017,,K.Dexter,D. Lohman,Hesp,,,
BN000810,sequenced,450,good,4/12/2017,Rvcoll11K217,Hesperiidae,Hesperiinae,Erionotini,,Teniorhinus,harona,,Thorax,0.039,7.8,Teniorhinus harona,Teniorhinus harona,6/27/2017,,K. Dexter,Roger Vila,Hesp,,,
BN000811,sequenced,13,good,7/26/2017,BN-SZS-00613,Hesperiidae,Hesperiinae,Erionotini,,Teniorhinus,niger,,Legs,0.0575,11.5,Teniorhinus niger,Teniorhinus niger,3/5/2018,,K. Dexter,Szabolcs Sáfián,Hesp,,,
BN000812,sequenced,450,good,8/16/2017,LEP 53066,Hesperiidae,Hesperiinae,Moncini,,Thargella,evansi,,Abdomen,0.0942,18.8,Thargella evansi,Thargella evansi,3/26/2018,,K. Dexter,Ana B. B. Morais,Hesp,,,
BN000813,sequenced,450,good,,483,Hesperiidae,Pyrginae,Erinnini,,Theagenes,dichrous,,,0.0491,9.82,Theagenes dichrous,Theagenes dichrous,6/27/2017,,Andy Warren,Andy Warren,Hesp,,,
BN000814,sequenced,13,good,9/15/2017,LEP 53161,Hesperiidae,Hesperiinae,Hesperiini,,Thespieus,catochra,,Thorax,0.18,36,Thespieus catochra,Thespieus catochra,3/5/2018,,K. Dexter,H. Romanowski & N. Mega,Hesp,,,
BN000815,InQueue,450,good,8/16/2017,LEP 53067,Hesperiidae,Hesperiinae,Hesperiini,,Thespieus,dalman,,Abdomen,0.301,60.2,Thespieus dalman,Thespieus dalman,,,K. Dexter,Ana B. B. Morais,Hesp,X,1,
BN000816,sequenced,13,good,9/15/2017,RV-05-J856,Hesperiidae,Hesperiinae,Hesperiini,,Thespieus,fassli,,Thorax,0.395,79,Thespieus fassli,Thespieus fassli,3/5/2018,,K. Dexter,MCZ,Hesp,,,
BN000817,sequenced,450,good,,503,Hesperiidae,Hesperiinae,Hesperiini,,Thespieus,macareus,,,0.059,11.8,Thespieus macareus,Thespieus macareus,6/27/2017,,Andy Warren,Andy Warren,Hesp,,,
BN000818,sequenced,13,good,9/15/2017,RV-04-I740,Hesperiidae,Hesperiinae,Hesperiini,,Thespieus,othna,,Thorax,0.38,76,Thespieus othna,Thespieus othna,3/12/2018,,K. Dexter,MCZ,Hesp,,,
BN000819,sequenced,450,good,12/28/2016,DL-16-V117,Hesperiidae,Hesperiinae,Aeromachini,,Thoressa,masoni,,Thorax,0.0918,18.4,Thoressa masoni,Thoressa masoni,6/27/2017,,K.Dexter,D. Lohman,Hesp,X,,
BN000820,sequenced,450,good,12/2/2016,LEP 36684,Hesperiidae,Hesperiinae,Aeromachini,,Thoressa,varia,,Thorax,0.262,52.4,Thoressa varia,Thoressa varia,12/13/2016,Yes,K.Dexter,,Hesp,,,
BN000821,sequenced,13,good,4/12/2017,LEP 49279,Hesperiidae,Eudaminae,,,Thorybes,bathyllus,,Thorax,0.294,58.8,Thorybes bathyllus,Thorybes bathyllus,7/10/2017,,K. Dexter,,Hesp,X,,
BN000822,sequenced,450,good,12/2/2016,LEP 39973,Hesperiidae,Eudaminae,,,Thorybes,confusis,,Thorax,0.522,104,Thorybes confusis,Thorybes confusis,12/13/2016,Yes,K.Dexter,,Hesp,,,
BN000823,sequenced,13,good,12/2/2016,LEP 31595,Hesperiidae,Eudaminae,,,Thorybes,mexicana,,Thorax,0.335,67,Thorybes mexicana,Thorybes mexicana,1/12/2017,Yes,K.Dexter,,Hesp,,,
BN000824,sequenced,13,good,12/2/2016,LEP 21688,Hesperiidae,Eudaminae,,,Thorybes,pylades,,Thorax,0.424,84.8,Thorybes pylades,Thorybes pylades,1/12/2017,Yes,K.Dexter,,Hesp,,,
BN000825,sequenced,450,good,,452,Hesperiidae,Hesperiinae,Calpodini,,Thracides,phidon,,,0.0682,13.6,Thracides phidon,Thracides phidon,6/27/2017,,Andy Warren,Andy Warren,Hesp,X,,
BN000826,sequenced,13,good,4/12/2017,RVcoll07F070,Hesperiidae,Hesperiinae,Thymelicini,,Thymelicus,acteon,,Thorax,0.0548,11,Thymelicus acteon,Thymelicus acteon,7/10/2017,,K. Dexter,Roger Vila,Hesp,X,,
BN000827,sequenced,13,low,4/12/2017,RVcoll07W174,Hesperiidae,Hesperiinae,Thymelicini,,Thymelicus,christi,,Thorax,0.0195,3.9,Thymelicus christi,Thymelicus christi,7/10/2017,,K. Dexter,Roger Vila,Hesp,,,
BN000828,sequenced,13,good,4/12/2017,RVcoll06A055,Hesperiidae,Hesperiinae,Thymelicini,,Thymelicus,hamza,,Thorax,0.0663,13.3,Thymelicus hamza,Thymelicus hamza,7/10/2017,,K. Dexter,Roger Vila,Hesp,,,
BN000829,sequenced,13,good,4/12/2017,RVcoll07F187,Hesperiidae,Hesperiinae,Thymelicini,,Thymelicus,hyrax,,Thorax,0.0889,17.8,Thymelicus hyrax,Thymelicus hyrax,7/10/2017,,K. Dexter,Roger Vila,Hesp,,,
BN000830,sequenced,13,good,10/17/2016,MY-2016-27,Hesperiidae,Hesperiinae,Thymelicini,,Thymelicus,leonina,leoninus,Thorax,0.164,32.8,Thymelicus leonina,Thymelicus leonina,1/12/2017,Yes,K.Dexter,Yago,Hesp,,,
BN000831,sequenced,13,good,10/17/2016,MY-2016-28,Hesperiidae,Hesperiinae,Thymelicini,,Thymelicus,sylvatica,sylvatticus,Legs,0.0867,17.3,Thymelicus sylvatica,Thymelicus sylvatica,1/12/2017,Yes,K.Dexter,Yago,Hesp,,,
BN000832,sequenced,450,good,,RE-04-C201,Hesperiidae,Hesperiinae,Thymelicini,,Thymelicus,sylvestris,,,,47.6,Thymelicus sylvestris,Thymelicus sylvestris,,Yes,M. Espeland,,,,,Marianne's sequence
BN000833,sequenced,13,good,8/19/2016,LEP 26593,Hesperiidae,Hesperiinae,Thymelicini,,Thymelicus ,lineola,,Legs,0.0294,5.88,Thymelicus  lineola,Thymelicus lineola,1/12/2017,Yes,K.Dexter,,Hesp,,,
BN000834,sequenced,450,good,9/15/2017,RV-06-A409,Hesperiidae,Hesperiinae,Moncini,,Tigasis,,,Thorax,0.428,85.6,Tigasis ,Tigasis,3/26/2018,,K. Dexter,MCZ,Hesp,,,
BN000835,sequenced,450,good,,178,Hesperiidae,Pyrginae,Erynnini,,Timochares,trifasciata,,,0.0667,13.3,Timochares trifasciata,Timochares trifasciata,6/27/2017,,Andy Warren,Andy Warren,Hesp,X,,
BN000836,sequenced,13,good,,88,Hesperiidae,Trapezitinae,,,Toxidia,doubledayi,,,0.0627,12.5,Toxidia doubledayi,Toxidia doubledayi,7/10/2017,,Andy Warren,Andy Warren,Hesp,,,
BN000837,sequenced,13,good,7/14/2017,CJM-16-2668,Hesperiidae,Trapezitinae,,,Toxidia,inornata,,Legs,0.0332,6.64,Toxidia inornata,Toxidia inornatus,3/5/2018,,K. Dexter,C. Mueller,Hesp,,,
BN000838,sequenced,13,good,7/20/2017,MFB-16-P023,Hesperiidae,Trapezitinae,,,Toxidia,melania,,Thorax,0.317,63.4,Toxidia melania,Toxidia melania,3/5/2018,,K. Dexter,M. Braby,Hesp,,,1 gene
BN000839,sequenced,13,good,7/20/2017,MFB-16-P075,Hesperiidae,Trapezitinae,,,Toxidia,parvula,,Thorax,0.176,35.2,Toxidia parvula,NA,3/5/2018,,K. Dexter,M. Braby,Hesp,,,
BN000840,sequenced,450,good,,111,Hesperiidae,Trapezitinae,,,Toxidia,peron,,,0.0817,16.3,Toxidia peron,Toxidia peron,6/27/2017,,Andy Warren,Andy Warren,Hesp,,,
BN000841,sequenced,13,good,7/14/2017,MFB-16-P016,Hesperiidae,Trapezitinae,,,Toxidia,rietmanni,parasema,Thorax,0.0244,4.88,Toxidia rietmanni,Toxidia rietmanni,3/5/2018,,K. Dexter,M. Braby,Hesp,,,1 gene
BN000842,sequenced,13,good,,618,Hesperiidae,Trapezitinae,,,Trapezites,argenteornatus,,,0.0706,14.1,Trapezites argenteornatus,Trapezites argenteoornatus,7/10/2017,,Andy Warren,Andy Warren,Hesp,,,
BN000843,sequenced,13,good,7/14/2017,MFB-16-P005,Hesperiidae,Trapezitinae,,,Trapezites,iacchus,,Thorax,0.346,69.2,Trapezites iacchus,Trapezites iacchus,3/5/2018,,K. Dexter,M. Braby,Hesp,,,
BN000844,sequenced,13,good,7/20/2017,MFB-17-A025,Hesperiidae,Trapezitinae,,,Trapezites,luteus,leucon,Thorax,0.124,24.8,Trapezites luteus,Trapezites lutea,3/5/2018,,K. Dexter,M. Braby,Hesp,,,
BN000845,sequenced,13,good,7/14/2017,MFB-16-P004,Hesperiidae,Trapezitinae,,,Trapezites,macqueeni,,Thorax,0.0292,5.84,Trapezites macqueeni,Trapezites macqueeni,3/5/2018,,K. Dexter,M. Braby,Hesp,,,1 gene
BN000846,sequenced,450,good,,RE-02-A019_Trappeta,Hesperiidae,Trapezitinae,,,Trapezites,petalia,,,,25.8,Trapezites petalia,Trapezites petalia,,Yes,M. Espeland,,,,,Marianne's sequence
BN000847,sequenced,13,good,7/20/2017,MFB-16-P049,Hesperiidae,Trapezitinae,,,Trapezites,phigalia,,Thorax,0.332,66.4,Trapezites phigalia,Trapezites phigalia,3/5/2018,,K. Dexter,M. Braby,Hesp,,,1 gene
BN000848,sequenced,13,good,,313,Hesperiidae,Trapezitinae,,,Trapezites,phigalioides,,,0.0325,6.5,Trapezites phigalioides,Trapezites phigalioides,3/5/2018,,Andy Warren,Andy Warren,Hesp,,,1 gene
BN000849,sequenced,13,good,,103,Hesperiidae,Trapezitinae,,,Trapezites,praxedes,,,0.0798,16,Trapezites praxedes,Trapezites praxedes,7/10/2017,,Andy Warren,Andy Warren,Hesp,,,
BN000850,sequenced,450,good,,89,Hesperiidae,Trapezitinae,,,Trapezites,symmonus,,,0.0753,15.1,Trapezites symmonus,Trapezites symmomus,6/27/2017,,Andy Warren,Andy Warren,Hesp,X,,
BN000851,sequenced,450,good,12/2/2016,LEP 36832,Hesperiidae,Pyrginae,,,Trina,geometrina,,Thorax,0.159,31.8,Trina geometrina,Trina geometrina,12/13/2016,Yes,K.Dexter,,Hesp,X,,
BN000852,sequenced,450,low,7/26/2017,352/05.09.2016,Hesperiidae,Pyrginae,Celaenorrhinini,,Triskelionia,tricerata,,Legs,0.021,4.2,Triskelionia tricerata,Triskelionia tricerata,3/26/2018,,K. Dexter,Szabolcs Sáfián,Hesp,X,,
BN000853,sequenced,450,low,,143,Hesperiidae,Eudaminae,,,Typhedanus,ampyx,,,0.0199,3.98,Typhedanus ampyx,Typhedanus ampyx,3/26/2018,,Andy Warren,Andy Warren,Hesp,,,
BN000854,sequenced,450,good,9/28/2016,LEP 31676,Hesperiidae,Hesperiinae,Erionotini,,Udaspes,folus,,Thorax,1.56,312,Udaspes folus,Udaspes folus,12/13/2016,Yes,K.Dexter,,Hesp,X,,
BN000855,sequenced,13,good,10/17/2016,MY-2016-29,Hesperiidae,Hesperiinae,Erionotini,,Udaspes,folus,,Legs,0.145,29,Udaspes folus,Udaspes folus,1/12/2017,Yes,K.Dexter,Yago,Hesp,X,,
BN000856,sequenced,450,good,,412,Hesperiidae,Eudaminae,,,Udranomia,kikkawai,,,0.0619,12.4,Udranomia kikkawai,Udranomia kikkawai,6/27/2017,,Andy Warren,Andy Warren,Hesp,,,
BN000857,sequenced,450,good,9/28/2016,MY-2016-HES-27,Hesperiidae,Hesperiinae,Erionotini,,Unkana,ambasa,batara,Legs,0.119,23.8,Unkana ambasa,Unkana ambasa,12/13/2016,Yes,K.Dexter,Yago,Hesp,,,
BN000858,sequenced,13,good,12/2/2016,LEP 41551,Hesperiidae,Eudaminae,,,Urbanus,albimargo,,Thorax,0.914,183,Urbanus albimargo,Urbanus albimargo,1/12/2017,Yes,K.Dexter,,Hesp,,,
BN000859,sequenced,13,good,12/2/2016,LEP 41648,Hesperiidae,Eudaminae,,,Urbanus,dorantes,,Thorax,0.646,129,Urbanus dorantes,Urbanus dorantes,1/12/2017,Yes,K.Dexter,,Hesp,,,
BN000860,sequenced,13,good,12/2/2016,LEP 30403,Hesperiidae,Eudaminae,,,Urbanus,elmina,,Thorax,0.539,108,Urbanus elmina,Urbanus elmina,1/12/2017,Yes,K.Dexter,,Hesp,,,
BN000861,sequenced,13,good,9/15/2017,RV-06-A314,Hesperiidae,Eudaminae,,,Urbanus,esmeraldus,,Thorax,0.419,83.8,Urbanus esmeraldus,Urbanus esmeraldus,3/12/2018,,K. Dexter,MCZ,Hesp,,,1 gene
BN000862,sequenced,13,good,9/15/2017,LEP 53176,Hesperiidae,Eudaminae,,,Urbanus,evenus,,Thorax,0.423,84.6,Urbanus evenus,Urbanus evenus,3/12/2018,,K. Dexter,H. Romanowski & N. Mega,Hesp,,,
BN000863,sequenced,13,good,12/2/2016,LEP 28878,Hesperiidae,Eudaminae,,,Urbanus,procne,,Thorax,0.0513,10.3,Urbanus procne,Urbanus procne,1/12/2017,Yes,K.Dexter,,Hesp,,,
BN000864,sequenced,450,good,8/19/2016,LEP 29066,Hesperiidae,Eudaminae,,,Urbanus,proteus,,Thorax,0.777,155,Urbanus proteus,Urbanus proteus,1/12/2017,Yes,K.Dexter,,Hesp,X,,
BN000865,sequenced,450,good,,GV1200108,Hesperiidae,Eudaminae,,,Urbanus,proteus,,,,,Urbanus proteus,Urbanus proteus,,Yes,M. Espeland,,,X,,Marianne's sequence
BN000866,sequenced,13,good,3/21/2017,LEP 41804,Hesperiidae,Eudaminae,,,Urbanus,simplicius,,Thorax,0.342,68.4,Urbanus simplicius,Urbanus simplicius,7/10/2017,,K.Dexter,,Hesp,,,
BN000867,sequenced,13,good,9/15/2017,DY-93-H057,Hesperiidae,Eudaminae,,,Urbanus,tanna,,Thorax,0.306,61.2,Urbanus tanna,Urbanus tanna,3/12/2018,,K. Dexter,MCZ,Hesp,,,1 gene
BN000868,sequenced,13,good,9/15/2017,RV-04-I728,Hesperiidae,Eudaminae,,,Urbanus,teleus,,Thorax,0.321,64.2,Urbanus teleus,Urbanus teleus,3/12/2018,,K. Dexter,MCZ,Hesp,,,1 gene
BN000869,sequenced,13,good,9/15/2017,RV-06-A402,Hesperiidae,Eudaminae,,,Urbanus,velinus,,Thorax,0.189,37.8,Urbanus velinus,Urbanus velinus,3/5/2018,,K. Dexter,MCZ,Hesp,,,
BN000870,sequenced,450,good,8/16/2017,LEP 53068,Hesperiidae,Hesperiinae,Moncini,,Vehilius,celeus,,Abdomen,0.382,76.4,Vehilius celeus,Vehilius celeus,3/26/2018,,K. Dexter,Ana B. B. Morais,Hesp,,,
BN000871,sequenced,13,good,8/16/2017,LEP 53069,Hesperiidae,Hesperiinae,Moncini,,Vehilius,clavicula,,Abdomen,0.225,45,Vehilius clavicula,Vehilius clavicula,3/5/2018,,K. Dexter,Ana B. B. Morais,Hesp,,,
BN000872,sequenced,13,good,9/5/2017,LEP 53070,Hesperiidae,Hesperiinae,Moncini,,Vehilius,inca,,Abdomen,0.0768,15.4,Vehilius inca,Vehilius inca,3/5/2018,,K. Dexter,Ana B. B. Morais,Hesp,,,1 gene
BN000873,sequenced,13,good,9/15/2017,LEP 53208,Hesperiidae,Hesperiinae,Moncini,,Vehilius,strictomenes,,Thorax,0.311,62.2,Vehilius strictomenes,Vehilius stictomenes,3/5/2018,,K. Dexter,H. Romanowski & N. Mega,Hesp,,,
