SamplesSubmitted,SequencesReceived,SequencesProcessed,LociRecoverd,DelevieredTo,DelevieredToDate,RAPiD_SampleCode,BNet_UI,DNA_Yield,ProbeKit,Date_Extracted,ID,Family,Subfamily,Tribe,Section,Genus,Species,Subspecies,Tissue,QubitAssayConcentration,QubitStockConcentration,FullName,ValidName,DateSentToRapid,ExtractedBy,Contributor,ProjectCode,Type,RAPID_RowSort,RAPID_ColumnSort,RAPID_UniqueClientCode
YES,YES,YES,,,,FMN_456206_P07_WE02,BN000393,good,13,5/31/2017,VN-16-D195,Hesperiidae,Coeliadinae,,,Hasora,moestissima,moestissima,Thorax,0.157,31.4,Hasora moestissima,Hasora moetissima,3/5/2018,K. Dexter,D. Lohman,Hesp,,626,589,VN16D195
YES,YES,YES,,,,FMN_456206_P14_WB01,BN003357,good,13,12/13/2017,LEP 58998,Hesperiidae,Eudaminae,,,Achalarus,toxeus,complex,Thorax,0.418,83.6,Achalarus toxeus,Achalarus toxeus,3/12/2018,K. Dexter,,Hesp,,1261,1250,LEP58998
YES,YES,YES,,,,FMN_456206_P07_WB03,BN000148,good,13,9/15/2017,RV-06-A024,Hesperiidae,Eudaminae,,,Astraptes,anaphus,,Thorax,0.0243,4.86,Astraptes anaphus,Astraptes anaphus,3/5/2018,K. Dexter,MCZ,Hesp,,591,594,RV06A024
YES,YES,YES,,,,FMN_456206_P07_WD04,BN000150,good,13,8/16/2017,LEP 53031,Hesperiidae,Eudaminae,,,Astraptes,elorus,,Abdomen,0.103,20.6,Astraptes elorus,Astraptes elorus,3/5/2018,K. Dexter,Ana B. B. Morais,Hesp,,616,604,LEP53031
YES,YES,YES,,,,FMN_456206_P07_WD06,BN000149,good,13,8/16/2017,LEP 53030,Hesperiidae,Eudaminae,,,Astraptes,aulus,,Abdomen,0.111,22.2,Astraptes aulus,Astraptes aulus,3/5/2018,K. Dexter,Ana B. B. Morais,Hesp,,618,620,LEP53030
YES,YES,YES,,,,FMN_456206_P08_WA04,BN003359,good,13,12/13/2017,LEP 59004,Hesperiidae,Eudaminae,,,Astraptes,alardus,,Thorax,0.435,87,Astraptes alardus,Astraptes alardus,3/5/2018,K. Dexter,,Hesp,,676,697,LEP59004
YES,YES,YES,,,,FMN_456206_P08_WA01,BN000158,good,13,9/15/2017,DY-93-H067,Hesperiidae,Eudaminae,,,Autochton,bipunctatus,,Thorax,0.407,81.4,Autochton bipunctatus,Autochton bipunctatus,3/5/2018,K. Dexter,MCZ,Hesp,,673,673,DY93H067
YES,YES,YES,,,,FMN_456206_P14_WB06,BN000160,good,13,9/15/2017,RV-06-A022,Hesperiidae,Eudaminae,,,Autochton,neis,,Thorax,0.426,85.2,Autochton neis,Autochton neis,3/12/2018,K. Dexter,MCZ,Hesp,,1266,1290,RV06A022
YES,YES,YES,,,,FMN_456206_P13_WG11,BN000263,good,13,8/16/2017,LEP 53034,Hesperiidae,Eudaminae,,,Codatractus,aminias,,Abdomen,0.24,48,Codatractus aminias,Codatractus aminias,3/12/2018,K. Dexter,Ana B. B. Morais,Hesp,,1235,1239,LEP53034
YES,YES,YES,,,,FMN_456206_P07_WF09,BN000321,good,13,8/16/2017,LEP 53032,Hesperiidae,Eudaminae,,,Epargyreus,socus,socus,Abdomen,0.231,46.2,Epargyreus socus,Epargyreus socus,3/5/2018,K. Dexter,Ana B. B. Morais,Hesp,,645,646,LEP53032
YES,YES,YES,,,,FMN_456206_P07_WC11,BN002995,good,13,11/15/2017,LEP 53044,Hesperiidae,Eudaminae,,,Phocides,pialia,,Abdomen Soak,0.0834,16.7,Phocides pialia,Phocides pialia,3/5/2018,K. Dexter,Ana B. B. Morais,,,611,659,LEP53044
YES,YES,YES,,,,FMN_456206_P07_WF01,BN000869,good,13,9/15/2017,RV-06-A402,Hesperiidae,Eudaminae,,,Urbanus,velinus,,Thorax,0.189,37.8,Urbanus velinus,Urbanus velinus,3/5/2018,K. Dexter,MCZ,Hesp,,637,582,RV06A402
YES,YES,YES,,,,FMN_456206_P13_WH05,BN000867,good,13,9/15/2017,DY-93-H057,Hesperiidae,Eudaminae,,,Urbanus,tanna,,Thorax,0.306,61.2,Urbanus tanna,Urbanus tanna,3/12/2018,K. Dexter,MCZ,Hesp,,1241,1192,DY93H057
YES,YES,YES,,,,FMN_456206_P13_WH08,BN000868,good,13,9/15/2017,RV-04-I728,Hesperiidae,Eudaminae,,,Urbanus,teleus,,Thorax,0.321,64.2,Urbanus teleus,Urbanus teleus,3/12/2018,K. Dexter,MCZ,Hesp,,1244,1216,RV04I728
YES,YES,YES,,,,FMN_456206_P14_WB02,BN000861,good,13,9/15/2017,RV-06-A314,Hesperiidae,Eudaminae,,,Urbanus,esmeraldus,,Thorax,0.419,83.8,Urbanus esmeraldus,Urbanus esmeraldus,3/12/2018,K. Dexter,MCZ,Hesp,,1262,1258,RV06A314
YES,YES,YES,,,,FMN_456206_P14_WB04,BN000862,good,13,9/15/2017,LEP 53176,Hesperiidae,Eudaminae,,,Urbanus,evenus,,Thorax,0.423,84.6,Urbanus evenus,Urbanus evenus,3/12/2018,K. Dexter,H. Romanowski & N. Mega,Hesp,,1264,1274,LEP53176
YES,YES,YES,,,,FMN_456206_P14_WB09,BN002827,good,13,11/13/2017,LEP 53260,Hesperiidae,Eudaminae,,,Urbanus,zagorus,,Thorax,0.449,89.8,Urbanus zagorus,Urbanus zagorus,3/12/2018,K. Dexter,H. Romanowski & N. Mega,Hesp,,1269,1314,LEP53260
YES,YES,YES,,,,FMN_456206_P07_WC07,BN003279,good,13,12/13/2017,PH_LEP013,Hesperiidae,Hesperiinae,Aeromachini,,Aeromachus,musca,,Legs,0.0635,12.7,Aeromachus musca,Aeromachus musca,3/5/2018,K. Dexter,Ja-aa Badon,Hesp,,607,627,PHLEP013
YES,YES,YES,,,,FMN_456206_P07_WE12,BN000281,good,13,8/16/2017,LEP 53052,Hesperiidae,Hesperiinae,Anthoptini,,Corticea,obscura,,Abdomen,0.189,37.8,Corticea obscura,Corticea obscura,3/5/2018,K. Dexter,Ana B. B. Morais,Hesp,,636,669,LEP53052
YES,YES,YES,,,,FMN_456206_P07_WH08,BN002810,good,13,11/13/2017,LEP 53173,Hesperiidae,Hesperiinae,Anthoptini,,Corticea,immocerinus,,Thorax,0.366,73.2,Corticea immocerinus,Corticea immocerinus,3/5/2018,K. Dexter,H. Romanowski & N. Mega,Hesp,,668,640,LEP53173
YES,YES,YES,,,,FMN_456206_P07_WG09,BN003356,good,13,12/13/2017,LEP 58996,Hesperiidae,Hesperiinae,Anthoptini,,Synapte,pecta,,Thorax,0.319,63.8,Synapte pecta,Synapte pecta,3/5/2018,K. Dexter,,Hesp,,657,647,LEP58996
YES,YES,YES,,,,FMN_456206_P13_WG10,BN000779,good,13,8/16/2017,LEP 53065,Hesperiidae,Hesperiinae,Anthoptini,,Synapte,malitiosa,antistia,Abdomen,0.236,47.2,Synapte malitiosa,Synapte malitiosa,3/12/2018,K. Dexter,Ana B. B. Morais,Hesp,,1234,1231,LEP53065
YES,YES,YES,,,,FMN_456206_P07_WA03,BN000587,low,13,,340,Hesperiidae,Hesperiinae,Baoridini,,Parnara,ganga?,,,0.0123,2.46,Parnara ganga?,Parnara NRganga,3/5/2018,Andy Warren,Andy Warren,Hesp,,579,593,340
YES,YES,YES,,,,FMN_456206_P07_WD01,BN002820,good,13,11/13/2017,LEP 52445,Hesperiidae,Hesperiinae,Carystini,,Panoquina,lucas,,Thorax,0.1,20,Panoquina lucas,Panoquina lucas,3/5/2018,K. Dexter,,Hesp,,613,580,LEP52445
YES,YES,YES,,,,FMN_456206_P07_WE11,BN000575,good,13,8/16/2017,LEP 53062,Hesperiidae,Hesperiinae,Carystini,,Panoquina,panoquinoides,,Abdomen,0.187,37.4,Panoquina panoquinoides,Panoquina panoquinoides,3/5/2018,K. Dexter,Ana B. B. Morais,Hesp,,635,661,LEP53062
YES,YES,YES,,,,FMN_456206_P13_WH06,BN000085,good,13,9/15/2017,ME-12-C560,Hesperiidae,Hesperiinae,Erionotini,,Acleros,mackenii,,Thorax,0.315,63,Acleros mackenii,Acleros mackenii,3/12/2018,K. Dexter,MCZ,Hesp,,1242,1200,ME12C560
YES,YES,YES,,,,FMN_456206_P07_WD10,BN000197,good,13,7/26/2017,BN-SZS-00603,Hesperiidae,Hesperiinae,Erionotini,,Caenides,benga,,Legs,0.131,26.2,Caenides benga,Caenides benga,3/5/2018,K. Dexter,Szabolcs Sáfián,Hesp,,622,652,BNSZS00603
YES,YES,YES,,,,FMN_456206_P07_WF05,BN000247,good,13,7/26/2017,BN-SZS-00532,Hesperiidae,Hesperiinae,Erionotini,,Ceratrichia,argyrosticta?,enta,Legs,0.213,42.6,Ceratrichia argyrosticta?,Ceratrichia sp,3/5/2018,K. Dexter,Szabolcs Sáfián,Hesp,,641,614,BNSZS00532
YES,YES,YES,,,,FMN_456206_P14_WA02,BN002833,good,13,11/13/2017,LEP 53512,Hesperiidae,Hesperiinae,Erionotini,,Matapa,cersina,,Thorax,0.353,70.6,Matapa cersina,Matapa celsina,3/12/2018,K. Dexter,,,,1250,1257,LEP53512
YES,YES,YES,,,,FMN_456206_P07_WA10,BN000566,good,13,7/26/2017,483/05.09.2016,Hesperiidae,Hesperiinae,Erionotini,,Osmodes,minchini,,Legs,0.0207,4.14,Osmodes minchini,Osmodes minchini,3/5/2018,K. Dexter,Szabolcs Sáfián,Hesp,,586,649,48305092016
YES,YES,YES,,,,FMN_456206_P14_WB05,BN003444,good,13,1/17/2018,LEP 59357,Hesperiidae,Hesperiinae,Erionotini,,Paronymus,nevea,,Abdomen Soak,0.424,84.8,Paronymus nevea,Paronymus nevea,3/12/2018,K. Dexter,Toussaint,Hesp,,1265,1282,LEP59357
YES,YES,YES,,,,FMN_456206_P14_WA12,BN002841,good,13,11/13/2017,LEP 53515,Hesperiidae,Hesperiinae,Erionotini,,Pirdana,ismene,,Thorax,0.417,83.4,Pirdana ismene,Pirdana ismene,3/12/2018,K. Dexter,,Hesp,,1260,1337,LEP53515
YES,YES,YES,,,,FMN_456206_P07_WC03,BN003282,good,13,12/13/2017,PH_LEP040,Hesperiidae,Hesperiinae,Erionotini,,Suastus,migreus,,Legs,0.0367,7.34,Suastus migreus,Suastus migreus,3/5/2018,K. Dexter,Ja-aa Badon,Hesp,,603,595,PHLEP040
YES,YES,YES,,,,FMN_456206_P07_WC06,BN000811,good,13,7/26/2017,BN-SZS-00613,Hesperiidae,Hesperiinae,Erionotini,,Teniorhinus,niger,,Legs,0.0575,11.5,Teniorhinus niger,Teniorhinus niger,3/5/2018,K. Dexter,Szabolcs Sáfián,Hesp,,606,619,BNSZS00613
YES,YES,YES,,,,FMN_456206_P07_WB06,BN003280,good,13,12/13/2017,PH_LEP021,Hesperiidae,Hesperiinae,Erionotini,,Xanthoneura,telesinus,,Legs,0.0255,5.1,Xanthoneura telesinus,Xanthoneura telesinus,3/5/2018,K. Dexter,Ja-aa Badon,Hesp,,594,618,PHLEP021
YES,YES,YES,,,,FMN_456206_P07_WB02,BN000903,good,13,1/16/2017,EI-16-D186,Hesperiidae,Hesperiinae,Erionotini,,Zographetus,thrax,thraxx,Thorax,0.023,4.6,Zographetus thrax,NA,3/5/2018,K.Dexter,D. Lohman,Hesp,,590,586,EI16D186
YES,YES,YES,,,,FMN_456206_P07_WG05,BN002809,good,13,11/13/2017,LEP 53289,Hesperiidae,Hesperiinae,Hesperiini,,Conga,urqua,,Thorax,0.309,61.8,Conga urqua,Conga urqua,3/5/2018,K. Dexter,H. Romanowski & N. Mega,Hesp,,653,615,LEP53289
YES,YES,YES,,,,FMN_456206_P14_WA11,BN000350,good,13,9/15/2017,DY-93-H063,Hesperiidae,Hesperiinae,Hesperiini,,Euphyes,peneia,,Thorax,0.398,79.6,Euphyes peneia,Euphyes peneia,3/12/2018,K. Dexter,MCZ,Hesp,,1259,1329,DY93H063
YES,YES,YES,,,,FMN_456206_P13_WH07,BN000436,good,13,9/15/2017,RV-06-A145,Hesperiidae,Hesperiinae,Hesperiini,,Hylephila,ignorans,,Thorax,0.319,63.8,Hylephila ignorans,Hylephila ignorans,3/12/2018,K. Dexter,MCZ,Hesp,,1243,1208,RV06A145
YES,YES,YES,,,,FMN_456206_P07_WA08,BN000637,low,13,4/12/2017,LEP 26144,Hesperiidae,Hesperiinae,Hesperiini,,Polites,baracoa,baracoa,Thorax,0.0195,3.9,Polites baracoa,Polites baracoa,3/5/2018,K. Dexter,,Hesp,,584,633,LEP26144
YES,YES,YES,,,,FMN_456206_P07_WH12,BN000649,good,13,8/16/2017,LEP 53063,Hesperiidae,Hesperiinae,Hesperiini,,Pompeius,amblyspila,,Abdomen,0.405,81,Pompeius amblyspila,Pompeius amblyspila,3/5/2018,K. Dexter,Ana B. B. Morais,Hesp,,672,672,LEP53063
YES,YES,YES,,,,FMN_456206_P07_WE09,BN000814,good,13,9/15/2017,LEP 53161,Hesperiidae,Hesperiinae,Hesperiini,,Thespieus,catochra,,Thorax,0.18,36,Thespieus catochra,Thespieus catochra,3/5/2018,K. Dexter,H. Romanowski & N. Mega,Hesp,,633,645,LEP53161
YES,YES,YES,,,,FMN_456206_P07_WH10,BN000816,good,13,9/15/2017,RV-05-J856,Hesperiidae,Hesperiinae,Hesperiini,,Thespieus,fassli,,Thorax,0.395,79,Thespieus fassli,Thespieus fassli,3/5/2018,K. Dexter,MCZ,Hesp,,670,656,RV05J856
YES,YES,YES,,,,FMN_456206_P14_WA06,BN000818,good,13,9/15/2017,RV-04-I740,Hesperiidae,Hesperiinae,Hesperiini,,Thespieus,othna,,Thorax,0.38,76,Thespieus othna,Thespieus othna,3/12/2018,K. Dexter,MCZ,Hesp,,1254,1289,RV04I740
YES,YES,YES,,,,FMN_456206_P07_WG11,BN000099,good,13,7/14/2017,LEP 50119,Hesperiidae,Hesperiinae,Moncini,,Amblyscirtes,aesculapius,,Thorax,0.323,64.6,Amblyscirtes aesculapius,Amblyscirtes aesculapius,3/5/2018,K. Dexter,,Hesp,,659,663,LEP50119
YES,YES,YES,,,,FMN_456206_P07_WC09,BN000204,good,13,8/16/2017,LEP 53049,Hesperiidae,Hesperiinae,Moncini,,Callimormus,interpunctata,,Abdomen,0.0756,15.1,Callimormus interpunctata,Callimormus interpunctata,3/5/2018,K. Dexter,Ana B. B. Morais,Hesp,,609,643,LEP53049
YES,YES,YES,,,,FMN_456206_P07_WE10,BN000206,good,13,8/16/2017,LEP 53050,Hesperiidae,Hesperiinae,Moncini,,Callimormus,rivera,,Abdomen,0.186,37.2,Callimormus rivera,Callimormus rivera,3/5/2018,K. Dexter,Ana B. B. Morais,Hesp,,634,653,LEP53050
YES,YES,YES,,,,FMN_456206_P07_WA09,BN000285,low,13,,343,Hesperiidae,Hesperiinae,Moncini,,Cumbre,belli,,,0.0207,4.14,Cumbre belli,NA,3/5/2018,Andy Warren,Andy Warren,Hesp,,585,641,343
YES,YES,YES,,,,FMN_456206_P13_WG09,BN000287,good,13,8/16/2017,LEP 53053,Hesperiidae,Hesperiinae,Moncini,,Cumbre,triumiralis,,Abdomen,0.195,39,Cumbre triumiralis,NA,3/12/2018,K. Dexter,Ana B. B. Morais,Hesp,,1233,1223,LEP53053
YES,YES,YES,,,,FMN_456206_P07_WE03,BN000296,good,13,8/16/2017,LEP 53056,Hesperiidae,Hesperiinae,Moncini,,Cymaenes,lepta,,Abdomen,0.158,31.6,Cymaenes lepta,Cymaenes lepta,3/5/2018,K. Dexter,Ana B. B. Morais,Hesp,,627,597,LEP53056
YES,YES,YES,,,,FMN_456206_P07_WF03,BN000294,good,13,8/16/2017,LEP 53054,Hesperiidae,Hesperiinae,Moncini,,Cymaenes,distigma,,Abdomen,0.197,39.4,Cymaenes distigma,Cymaenes distigma,3/5/2018,K. Dexter,Ana B. B. Morais,Hesp,,639,598,LEP53054
YES,YES,YES,,,,FMN_456206_P07_WF06,BN002811,good,13,11/13/2017,LEP 53150,Hesperiidae,Hesperiinae,Moncini,,Cymaenes,uruba,,Thorax,0.218,43.6,Cymaenes uruba,Cymaenes uruba,3/5/2018,K. Dexter,H. Romanowski & N. Mega,Hesp,,642,622,LEP53150
YES,YES,YES,,,,FMN_456206_P07_WF11,BN000298,good,13,9/15/2017,RV-04-I153,Hesperiidae,Hesperiinae,Moncini,,Cymaenes,odilia,,Thorax,0.242,48.4,Cymaenes odilia,Cymaenes odilia,3/5/2018,K. Dexter,MCZ,Hesp,,647,662,RV04I153
YES,YES,YES,,,,FMN_456206_P07_WH04,BN000297,good,13,9/15/2017,RV-05-M348,Hesperiidae,Hesperiinae,Moncini,,Cymaenes,limae,,Thorax,0.352,70.4,Cymaenes limae,Cymaenes limae,3/5/2018,K. Dexter,MCZ,Hesp,,664,608,RV05M348
YES,YES,YES,,,,FMN_456206_P07_WH09,BN003362,good,13,12/13/2017,LEP 59014,Hesperiidae,Hesperiinae,Moncini,,Cymaenes,trebius,,Thorax,0.376,75.2,Cymaenes trebius,Cymaenes trebius,3/5/2018,K. Dexter,,Hesp,,669,648,LEP59014
YES,YES,YES,,,,FMN_456206_P13_WH04,BN000295,good,13,8/16/2017,LEP 53055,Hesperiidae,Hesperiinae,Moncini,,Cymaenes,gisca,,Abdomen,0.301,60.2,Cymaenes gisca,Cymaenes gisca,3/12/2018,K. Dexter,Ana B. B. Morais,Hesp,,1240,1184,LEP53055
YES,YES,YES,,,,FMN_456206_P07_WH03,BN000466,good,13,9/15/2017,RV-05-M354,Hesperiidae,Hesperiinae,Moncini,,Lerodea,gracia,,Thorax,0.35,70,Lerodea gracia,Lerodea gracia,3/5/2018,K. Dexter,MCZ,Hesp,,663,600,RV05M354
YES,YES,YES,,,,FMN_456206_P07_WC12,BN002818,good,13,11/13/2017,LEP 53231,Hesperiidae,Hesperiinae,Moncini,,Nastra,ethologus,,Thorax,0.0923,18.5,Nastra ethologus,Nastra ethologus,3/5/2018,K. Dexter,H. Romanowski & N. Mega,Hesp,,612,667,LEP53231
YES,YES,YES,,,,FMN_456206_P07_WA05,BN000748,low,13,,347,Hesperiidae,Hesperiinae,Moncini,,Sodalia,dimassa,,,0.0141,2.82,Sodalia dimassa,NA,3/5/2018,Andy Warren,Andy Warren,Hesp,,581,609,347
YES,YES,YES,,,,FMN_456206_P07_WC10,BN000872,good,13,9/5/2017,LEP 53070,Hesperiidae,Hesperiinae,Moncini,,Vehilius,inca,,Abdomen,0.0768,15.4,Vehilius inca,Vehilius inca,3/5/2018,K. Dexter,Ana B. B. Morais,Hesp,,610,651,LEP53070
YES,YES,YES,,,,FMN_456206_P07_WF07,BN000871,good,13,8/16/2017,LEP 53069,Hesperiidae,Hesperiinae,Moncini,,Vehilius,clavicula,,Abdomen,0.225,45,Vehilius clavicula,Vehilius clavicula,3/5/2018,K. Dexter,Ana B. B. Morais,Hesp,,643,630,LEP53069
YES,YES,YES,,,,FMN_456206_P07_WG06,BN000873,good,13,9/15/2017,LEP 53208,Hesperiidae,Hesperiinae,Moncini,,Vehilius,strictomenes,,Thorax,0.311,62.2,Vehilius strictomenes,Vehilius stictomenes,3/5/2018,K. Dexter,H. Romanowski & N. Mega,Hesp,,654,623,LEP53208
YES,YES,YES,,,,FMN_456206_P07_WG04,BN003361,good,13,12/13/2017,LEP 59009,Hesperiidae,Hesperiinae,Moncini,,Vettius,fantasos,,Thorax,0.292,58.4,Vettius fantasos,Vettius fantasos,3/5/2018,K. Dexter,,Hesp,,652,607,LEP59009
YES,YES,YES,,,,FMN_456206_P07_WA01,BN000801,low,13,,327,Hesperiidae,Hesperiinae,Taractocerini,,Telicota,ancilla,,,0.0104,2.08,Telicota ancilla,Telicota ancilla,3/5/2018,Andy Warren,Andy Warren,Hesp,,577,577,327
YES,YES,YES,,,,FMN_456206_P07_WB12,BN003281,good,13,12/13/2017,PH_LEP034,Hesperiidae,Hesperiinae,Taractrocerini,,Oriens,fons,,Legs,0.0327,6.54,Oriens fons,Oriens fons,3/5/2018,K. Dexter,Ja-aa Badon,Hesp,,600,666,PHLEP034
YES,YES,YES,,,,FMN_456206_P07_WA07,BN003278,good,13,12/13/2017,PH_LEP001,Hesperiidae,Hesperiinae,Taractrocerini,,Potanthus,mingo,,Legs,0.0185,3.7,Potanthus mingo,Potanthus mingo,3/5/2018,K. Dexter,Ja-aa Badon,Hesp,,583,625,PHLEP001
YES,YES,YES,,,,FMN_456206_P07_WD09,BN000118,good,13,9/15/2017,RV-05-M410,Hesperiidae,Hesperiinae,Thymelicini,,Ancyloxypha,aurea,,Thorax,0.127,25.4,Ancyloxypha aurea,Ancyloxypha aurea,3/5/2018,K. Dexter,MCZ,Hesp,,621,644,RV05M410
YES,YES,YES,,,,FMN_456206_P07_WD11,BN000119,good,13,8/16/2017,LEP 53048,Hesperiidae,Hesperiinae,Thymelicini,,Ancyloxypha,nitedeula,,Abdomen,0.132,26.4,Ancyloxypha nitedeula,Ancyloxypha nitedula,3/5/2018,K. Dexter,Ana B. B. Morais,Hesp,,623,660,LEP53048
YES,YES,YES,,,,FMN_456206_P07_WE01,BN002805,good,13,11/13/2017,RV-05-M415,Hesperiidae,Hesperiinae,Thymelicini,,Oarisma,boeta,,Thorax,0.144,28.8,Oarisma boeta,Oarisma boeta,3/5/2018,K. Dexter,MCZ,Hesp,,625,581,RV05M415
YES,YES,YES,,,,FMN_456206_P07_WB01,BN000144,good,13,7/26/2017,288/05.09.2016,Hesperiidae,Hesperiinae,,,Astictopterus,abjecta,,Legs,0.0266,4.52,Astictopterus abjecta,Astictopterus abjecta,3/5/2018,K. Dexter,Szabolcs Sáfián,Hesp,,589,578,28805092016
YES,YES,YES,,,,FMN_456206_P07_WD05,BN000374,good,13,7/26/2017,BN-SZS-00497,Hesperiidae,Hesperiinae,,,Gorgyra,aretina,,Legs,0.103,20.6,Gorgyra aretina,Gorgyra aretina,3/5/2018,K. Dexter,Szabolcs Sáfián,Hesp,,617,612,BNSZS00497
YES,YES,YES,,,,FMN_456206_P14_WA01,BN003439,good,13,1/17/2018,LEP 59352,Hesperiidae,Hesperiinae,,,Hypoleucis,ophiusa,,Abdomen Soak,0.29,58,Hypoleucis ophiusa,Hypoleucis ophiusa,3/12/2018,K. Dexter,Toussaint,Hesp,,1249,1249,LEP59352
YES,YES,YES,,,,FMN_456206_P07_WD12,BN000485,good,13,7/26/2017,BN-SZS-00493,Hesperiidae,Hesperiinae,,,Meza,cybeutes,,Legs,0.139,27.8,Meza cybeutes,Meza cybeutes,3/5/2018,K. Dexter,Szabolcs Sáfián,Hesp,,624,668,BNSZS00493
YES,YES,YES,,,,FMN_456206_P07_WA06,BN000495,low,13,,507,Hesperiidae,Hesperiinae,,,Monca,tyrtaeus (=crispinus),,,0.0183,3.66,Monca tyrtaeus (=crispinus),NA,3/5/2018,Andy Warren,Andy Warren,Hesp,,582,617,507
YES,YES,YES,,,,FMN_456206_P07_WD07,BN000496,good,13,7/26/2017,BN-SZS-00495,Hesperiidae,Hesperiinae,,,Monza,alberti,,Legs,0.115,23,Monza alberti,Monza alberti,3/5/2018,K. Dexter,Szabolcs Sáfián,Hesp,,619,628,BNSZS00495
YES,YES,YES,,,,FMN_456206_P07_WH05,BN000627,good,13,9/15/2017,ME-11-B007,Hesperiidae,Hesperiinae,,,Platylesches,galesa,,Thorax,0.354,70.8,Platylesches galesa,Platylesches galesa,3/5/2018,K. Dexter,MCZ,Hesp,,665,616,ME11B007
YES,YES,YES,,,,FMN_456206_P07_WC02,BN000678,good,13,7/26/2017,344/05.09.2016,Hesperiidae,Hesperiinae,,,Pteroteinon,laterculus,,Legs,0.0345,6.9,Pteroteinon laterculus,Pteroteinon laterculus,3/5/2018,K. Dexter,Szabolcs Sáfián,Hesp,,602,587,34405092016
YES,YES,YES,,,,FMN_456206_P07_WD03,BN000677,good,13,7/26/2017,BN-SZS-00484,Hesperiidae,Hesperiinae,,,Pteroteinon,caenira,,Legs,0.102,20.4,Pteroteinon caenira,Pteroteinon caenira,3/5/2018,K. Dexter,Szabolcs Sáfián,Hesp,,615,596,BNSZS00484
YES,YES,YES,,,,FMN_456206_P13_WG07,BN002804,good,13,11/2/2017,LEP 53984,Hesperiidae,Heteropterinae,,Carterocephalus group,Piruna,haferniki,,Abdomen,0.0273,5.46,Piruna haferniki,Piruna haferniki,3/12/2018,K. Dexter,,Hesp,,1231,1207,LEP53984
YES,YES,YES,,,,FMN_456206_P07_WG02,BN000483,good,13,9/15/2017,ME-13-E127,Hesperiidae,Heteropterinae,,,Metisella,kambove,,Thorax,0.266,53.2,Metisella kambove,Metisella kambove,3/5/2018,K. Dexter,MCZ,Hesp,,650,591,ME13E127
YES,YES,YES,,,,FMN_456206_P07_WB05,BN000090,good,13,8/16/2017,LEP 53027,Hesperiidae,Pyrginae,Achlyodini,,Aethilla,echina,coracina,Abdomen,0.0253,5.06,Aethilla echina,Aethilla echina,3/5/2018,K. Dexter,Ana B. B. Morais,Hesp,,593,610,LEP53027
YES,YES,YES,,,,FMN_456206_P13_WH09,BN000488,good,13,8/16/2017,LEP 53040,Hesperiidae,Pyrginae,Achlyodini,,Milanion,leucaspis,,Abdomen,0.324,64.8,Milanion leucaspis,Milanion leucaspis,3/12/2018,K. Dexter,Ana B. B. Morais,Hesp,,1245,1224,LEP53040
YES,YES,YES,,,,FMN_456206_P07_WH01,BN000710,good,13,8/16/2017,LEP 53046,Hesperiidae,Pyrginae,Achlyodini,,Quadrus,u-lucida,mimus,Abdomen,0.337,67.4,Quadrus u-lucida,Quadrus u-lucida,3/5/2018,K. Dexter,Ana B. B. Morais,Hesp,,661,584,LEP53046
YES,YES,YES,,,,FMN_456206_P07_WH06,BN000766,good,13,9/15/2017,ME-13-E318,Hesperiidae,Pyrginae,Carcharodini,,Spialia,spio,,Thorax,0.354,70.8,Spialia spio,Spialia spio,3/5/2018,K. Dexter,MCZ,Hesp,,666,624,ME13E318
YES,YES,YES,,,,FMN_456206_P07_WA12,BN002822,low,13,11/13/2017,LEP 53047,Hesperiidae,Pyrginae,Carcharodini,,Staphilus,ascalon,,Legs,0.0215,4.3,Staphilus ascalon,Staphylus ascalon,3/5/2018,K. Dexter,Ana B. B. Morais,Hesp,,588,665,LEP53047
YES,YES,YES,,,,FMN_456206_P08_WA02,BN000769,good,13,9/15/2017,RV-05-M369,Hesperiidae,Pyrginae,Carcharodini,,Staphylus,cordillerae,,Thorax,0.413,82.6,Staphylus cordillerae,Staphylus cordillerae,3/5/2018,K. Dexter,MCZ,Hesp,,674,681,RV05M369
YES,YES,YES,,,,FMN_456206_P13_WH02,BN000879,good,13,8/16/2017,LEP 53042,Hesperiidae,Pyrginae,Carcharodini,,Viola,viollela,,Abdomen,0.276,55.2,Viola viollela,Viola violella,3/12/2018,K. Dexter,Ana B. B. Morais,Hesp,,1238,1168,LEP53042
YES,YES,YES,,,,FMN_456206_P07_WC05,BN000233,good,13,7/26/2017,248/27.07.2016,Hesperiidae,Pyrginae,Celaenorrhinini,,Celaenorrhinus,chrysoglossa,,Legs,0.0529,10.6,Celaenorrhinus chrysoglossa,NA,3/5/2018,K. Dexter,Szabolcs Sáfián,Hesp,,605,611,24827072016
YES,YES,YES,,,,FMN_456206_P07_WD02,BN000234,good,13,7/26/2017,BN-SZS-00032,Hesperiidae,Pyrginae,Celaenorrhinini,,Celaenorrhinus,dargei,,Legs,0.102,20.4,Celaenorrhinus dargei,Celaenorrhinus dargei,3/5/2018,K. Dexter,Szabolcs Sáfián,Hesp,,614,588,BNSZS00032
