SamplesSubmitted,SequencesReceived,SequencesProcessed,LociRecoverd,DeliveredTo,DeliveredToDate,RAPiDSampleCode,BNet_UI,DNA_Yield,ProbeKit,Date_Extracted,ID,Family,Subfamily,Tribe,Section,Genus,Species,Subspecies,Tissue,QubitAssayConcentration,QubitStockConcentration,FullName,ValidName,DateSentToRapid,ExtractedBy,Contributor,ProjectCode,Type,RAPIDRowSort,RAPIDColumnSort,RAPIDUniqueClientCode,,,,,,,
YES,YES,YES,374,,,FMN_456204_P04_WE03,BN002287,low,450,4/12/17,LEP 40365,Pieridae,Pierinae,Pierini,Aporiina,Belenois,creona,,Thorax,0.0212,4.24,Belenois creona,Belenois creona,6/27/17,K. Dexter,,Pier,,339,309,BN002287,,,,,,,
YES,YES,YES,375,,,FMN_456204_P04_WE04,BN002330,good,450,3/30/17,DL-16-V155,Pieridae,Pierinae,Pierini,Aporiina,Cepora,nerissa,dapha,Abdomen,0.0247,4.94,Cepora nerissa,Cepora nerissa,6/27/17,K. Dexter,David Lohman,Pier,,340,317,BN002330,,,,,,,
YES,YES,YES,378,,,FMN_456204_P04_WE05,BN002452,good,450,1/5/17,IT-16-P027,Pieridae,Coliadinae,,,Dercas,verhuelli,doubledayi,abdomen,0.0249,4.98,Dercas verhuelli,Dercas verhuelli,6/27/17,K.Dexter,D. Lohman,Pier,X,341,325,BN002452,,,,,,,
YES,YES,YES,375,,,FMN_456204_P04_WE06,BN002255,good,450,4/12/17,LEP 48320,Pieridae,Pierinae,Pierini,Aporiina,Aporia,crataegi,,Thorax,0.0267,5.34,Aporia crataegi,Aporia crataegi,6/27/17,K. Dexter,,Pier,X,342,333,BN002255,,,,,,,
YES,YES,YES,377,,,FMN_456204_P04_WE07,BN002248,good,450,7/1/16,LEP 28842,Pieridae,Coliadinae,,,Aphrissa,boisduvalii,,Thorax,0.0305,6.1,Aphrissa boisduvalii,Aphrissa boisduvalii,6/27/17,K.Dexter,,Pier,,343,341,BN002248,,,,,,,
YES,YES,YES,326,,,FMN_456204_P04_WE08,BN002595,good,450,7/1/16,LEP 28910,Pieridae,Dismorphiinae,,,Lieinix,nemesis,,Thorax,0.031,6.2,Lieinix nemesis,Lieinix nemesis,6/27/17,K.Dexter,,Pier,X,344,349,BN002595,,,,,,,
YES,YES,YES,375,,,FMN_456204_P04_WE09,BN002605,good,450,7/1/16,LEP 29970,Pieridae,Coliadinae,,,Nathalis,iole,,Thorax,0.0427,8.54,Nathalis iole,Nathalis iole,6/27/17,K.Dexter,,Pier,X,345,357,BN002605,,,,,,,
YES,YES,YES,370,,,FMN_456204_P04_WE10,BN002237,good,450,3/21/17,LEP 46735,Pieridae,Pierinae,Pierini,Aporiina,Anapheis,java,,Thorax,0.043,8.6,Anapheis java,Belenois java,6/27/17,K.Dexter,,Pier,,346,365,BN002237,,,,,,,
YES,YES,YES,381,,,FMN_456204_P04_WE11,BN002277,good,450,10/17/16,MY-2016-83,Pieridae,Pierinae,Pierini,Appiadina,Appias,paulina,minato,Thorax,0.0457,9.14,Appias paulina,Appias paulina,6/27/17,K.Dexter,Yago,Pier,,347,373,BN002277,,,,,,,
YES,YES,YES,371,,,FMN_456204_P04_WE12,BN002614,good,450,1/5/17,HD-16-P265,Pieridae,Pierinae,Nepheronini,,Pareronia,jobaea,jobaea,abdomen,0.0493,9.86,Pareronia jobaea,Pareronia iobaea,6/27/17,K.Dexter,D. Lohman,Pier,,348,381,BN002614,,,,,,,
YES,YES,YES,374,,,FMN_456204_P04_WF01,BN002489,good,450,3/21/17,LEP 35544,Pieridae,Pierinae,Teracolini,,Eronia,cleodora,,Thorax,0.0502,10,Eronia cleodora,Eronia cleodora,6/27/17,K.Dexter,,Pier,X,349,294,BN002489,,,,,,,
YES,YES,YES,379,,,FMN_456204_P04_WF02,BN002448,good,450,3/30/17,CN-16-P015,Pieridae,Coliadinae,,,Dercas,enara,,Abdomen,0.0505,10.1,Dercas enara,,6/27/17,K.Dexter,David Lohman,Pier,,350,302,BN002448,,,,,,,
YES,YES,YES,370,,,FMN_456204_P04_WF03,BN002534,good,450,3/21/17,LEP 44525,Pieridae,Pierinae,Pierini,Appiadina,Glutophrissa,drusilla,,Thorax,0.0582,11.6,Glutophrissa drusilla,Glutophrissa drusilla,6/27/17,K.Dexter,,Pier,,351,310,BN002534,,,,,,,
YES,YES,YES,378,,,FMN_456204_P04_WF04,BN002254,good,450,10/17/16,MY-2016-6,Pieridae,Pierinae,Pierini,Aporiina,Aporia,agathon,moltrechti,Legs,0.0588,11.8,Aporia agathon,Aporia agathon,6/27/17,K.Dexter,Yago,Pier,,352,318,BN002254,,,,,,,
YES,YES,YES,377,,,FMN_456204_P04_WF05,BN002681,good,450,3/30/17,FH-16-Y021,Pieridae,Pierinae,Pierini,Pierina,Talbotia,naganum,karumii,Abdomen,0.0622,12.4,Talbotia naganum,Talbotia naganum,6/27/17,K. Dexter,David Lohman,Pier,X,353,326,BN002681,,,,,,,
YES,YES,YES,370,,,FMN_456204_P04_WF06,BN002559,good,450,1/5/17,IT-16-P002,Pieridae,Pierinae,Teracolini,,Ixias,venillia,,abdomen,0.064,12.8,Ixias venillia,Ixias venilia,6/27/17,K.Dexter,D. Lohman,Pier,,354,334,BN002559,,,,,,,
YES,YES,YES,366,,,FMN_456204_P04_WF07,BN002648,good,450,4/12/17,LEP 40373,Pieridae,Pierinae,Teracolini,,Pinacopteryx,eriphia,,Thorax,0.0731,14.6,Pinacopteryx eriphia,Pinacopteryx eriphia,6/27/17,K. Dexter,,Pier,X,355,342,BN002648,,,,,,,
YES,YES,YES,368,,,FMN_456204_P04_WF08,BN002515,good,450,7/1/16,LEP 31031,Pieridae,Coliadinae,,,Eurema,mexicana,,Thorax,0.0734,14.7,Eurema mexicana,Eurema mexicana,6/27/17,K.Dexter,,Pier,,356,350,BN002515,,,,,,,
YES,YES,YES,342,,,FMN_456204_P04_WF09,BN002619,good,450,7/1/16,LEP 28828,Pieridae,Dismorphiinae,,,Patia,orise,sororna,Thorax,0.0746,14.9,Patia orise,Patia orise,6/27/17,K.Dexter,,Pier,X,357,358,BN002619,,,,,,,
YES,YES,YES,371,,,FMN_456204_P04_WF10,BN002628,good,450,7/1/16,LEP 28835,Pieridae,Coliadinae,,,Phoebis,agarithe,,Thorax,0.0803,16.1,Phoebis agarithe,Phoebis agarithe,6/27/17,K.Dexter,,Pier,,358,366,BN002628,,,,,,,
YES,YES,YES,378,,,FMN_456204_P04_WF11,BN002652,good,450,3/21/17,LEP 47954,Pieridae,Pierinae,Pierini,Pierina,Pontia,daplidice,,Thorax,0.0817,16.3,Pontia daplidice,Pontia daplidice,6/27/17,K.Dexter,,Pier,X,359,374,BN002652,,,,,,,
YES,YES,YES,378,,,FMN_456204_P04_WF12,BN002660,good,450,1/5/17,VN-16-D035,Pieridae,Pierinae,Pierini,Apporiina,Prioneris,thestylis,thestylis,abdomen,0.0846,16.9,Prioneris thestylis,Prioneris thestylis,6/27/17,K.Dexter,D. Lohman,Pier,X,360,382,BN002660,,,,,,,
YES,YES,YES,379,,,FMN_456204_P04_WG01,BN002573,good,450,3/21/17,LEP 36814,Pieridae,Pierinae,Pierini,Pierina,Leptophobia,eleone,,Thorax,0.0884,17.7,Leptophobia eleone,Leptophobia eleone,6/27/17,K.Dexter,,Pier,X,361,295,BN002573,,,,,,,
YES,YES,YES,370,,,FMN_456204_P04_WG02,BN002592,good,450,3/30/17,HD-16-P233,Pieridae,Pierinae,Pierini,Aporiina,Leuciacria,acuta,,Abdomen,0.0999,20,Leuciacria acuta,Leuciacria acuta,6/27/17,K. Dexter,David Lohman,Pier,X,362,303,BN002592,,,,,,,
YES,YES,YES,377,,,FMN_456204_P04_WG03,BN002679,good,450,3/30/17,HD-16-P290,Pieridae,Pierinae,Pierini,Appiadina,Saletara,liberia,liberia,Abdomen,0.1,20,Saletara liberia,Saletara liberia,6/27/17,K. Dexter,David Lohman,Pier,,363,311,BN002679,,,,,,,
YES,YES,YES,378,,,FMN_456204_P04_WG04,BN002561,good,450,3/21/17,LEP 43384,Pieridae,Coliadinae,,,Kricogonia,lyside,,Thorax,0.101,20.2,Kricogonia lyside,Kricogonia lyside,6/27/17,K.Dexter,,Pier,X,364,319,BN002561,,,,,,,
YES,YES,YES,378,,,FMN_456204_P04_WG05,BN002513,good,450,7/1/16,LEP 28765,Pieridae,Coliadinae,,,Eurema,lisa,,Thorax,0.104,20.8,Eurema lisa,Pyrisitia lisa,6/27/17,K.Dexter,,Pier,,365,327,BN002513,,,,,,,
YES,YES,YES,371,,,FMN_456204_P04_WG06,BN002472,good,450,4/12/17,LEP 48683,Pieridae,Pierinae,Pierini,Aporiina,Dixeia,doxo,,Thorax,0.105,21,Dixeia doxo,Dixeia doxo,6/27/17,K. Dexter,,Pier,,366,335,BN002472,,,,,,,
YES,YES,YES,384,,,FMN_456204_P04_WG07,BN002547,good,450,3/21/17,LEP 43262,Pieridae,Pierinae,Anthocharidini,,Hesperocharis,marchalii,,Thorax,0.105,21,Hesperocharis marchalii,Hesperocharis marchalii,6/27/17,K.Dexter,,Pier,,367,343,BN002547,,,,,,,
YES,YES,YES,353,,,FMN_456204_P04_WG08,BN002601,good,450,1/18/17,BN-SZS-00144,Pieridae,Pierinae,Pierini,Aporiina,Mylothris,chloris,,Thorax,0.108,21.6,Mylothris chloris,Mylothris chloris,6/27/17,K.Dexter,M. Espeland,Pier,,368,351,BN002601,,,,,,,
YES,YES,YES,379,,,FMN_456204_P04_WG09,BN002492,good,450,3/21/17,LEP 38593,Pieridae,Pierinae,Anthocharidini,,Euchloe,ausonides,,Thorax,0.109,21.8,Euchloe ausonides,Euchloe ausonides,6/27/17,K.Dexter,,Pier,,369,359,BN002492,,,,,,,
YES,YES,YES,369,,,FMN_456204_P04_WG10,BN002373,good,450,4/12/17,LEP 48670,Pieridae,Pierinae,Teracolini,,Colotis,amata,calais,Thorax,0.11,22,Colotis amata,Colotis amata,6/27/17,K. Dexter,,Pier,X,370,367,BN002373,,,,,,,
YES,YES,YES,379,,,FMN_456204_P04_WG11,BN002319,good,450,3/30/17,DL-13-F181,Pieridae,Coliadinae,,,Catopsilia,scylla,sumbana,Abdomen,0.116,23.2,Catopsilia scylla,Catopsilia scylla,6/27/17,K. Dexter,David Lohman,Pier,,371,375,BN002319,,,,,,,
YES,YES,YES,366,,,FMN_456204_P04_WG12,BN002313,good,450,3/21/17,LEP 42789,Pieridae,Pierinae,Pierini,Aporiina,Catasticta,teutamis,,Thorax,0.126,25.2,Catasticta teutamis,Catasticta teutamis,6/27/17,K.Dexter,,Pier,,372,383,BN002313,,,,,,,
YES,YES,YES,378,,,FMN_456204_P04_WH01,BN002638,good,450,3/21/17,LEP 45960,Pieridae,Pierinae,Pierini,Pierina,Pieris,brassicae,ottonis,Thorax,0.148,29.6,Pieris brassicae,Pieris brassicae,6/27/17,K.Dexter,,Pier,X,373,296,BN002638,,,,,,,
YES,YES,YES,377,,,FMN_456204_P04_WH02,BN002644,good,450,3/21/17,LEP 45927,Pieridae,Pierinae,Pierini,Pierina,Pieris,napi,,Thorax,0.157,31.4,Pieris napi,Pieris napi,6/27/17,K.Dexter,,Pier,,374,304,BN002644,,,,,,,
YES,YES,YES,376,,,FMN_456204_P04_WH03,BN002685,good,450,3/30/17,HD-16-P285,Pieridae,Pierinae,Pierini,Appiadina,Udaiana,cynis,cynis,Abdomen,0.255,51,Udaiana cynis,Udaiana cynis,6/27/17,K. Dexter,David Lohman,Pier,X,375,312,BN002685,,,,,,,
YES,YES,YES,360,,,FMN_456204_P04_WH04,BN002662,good,450,3/21/17,LEP 43246,Pieridae,Dismorphiinae,,,Pseudopieris,nehemia,,Thorax,0.261,52.2,Pseudopieris nehemia,Pseudopieris nehemia,6/27/17,K.Dexter,,Pier,X,376,320,BN002662,,,,,,,
YES,YES,YES,371,,,FMN_456204_P04_WH05,BN002292,good,450,8/19/16,LEP 35444,Pieridae,Pierinae,Pierini,Aporiina,Belenois,subeida,,Thorax,0.269,53.8,Belenois subeida,Belenois subeida,6/27/17,K.Dexter,,Pier,,377,328,BN002292,,,,,,,
YES,YES,YES,368,,,FMN_456204_P04_WH06,BN002410,good,450,7/1/16,LEP 28874,Pieridae,Pierinae,Pierini,Aporiina,Delias,henningia,,Thorax,0.3,60,Delias henningia,Delias henningia,6/27/17,K.Dexter,,Pier,,378,336,BN002410,,,,,,,
YES,YES,YES,377,,,FMN_456204_P04_WH07,BN002247,good,450,3/30/17,HD-16-P055,Pieridae,Pierinae,Pierini,Appiadina,Aoa,affinis,,Abdomen,0.306,61.2,Aoa affinis,Aoa affinis,6/27/17,K. Dexter,David Lohman,Pier,X,379,344,BN002247,,,,,,,
YES,YES,YES,380,,,FMN_456204_P04_WH08,BN002624,good,450,3/21/17,LEP 41123,Pieridae,Pierinae,Pierini,Aporiina,Pereute,leucodrosime,,Thorax,0.311,62.2,Pereute leucodrosime,Pereute leucodrosime,6/27/17,K.Dexter,,Pier,,380,352,BN002624,,,,,,,
YES,YES,YES,370,,,FMN_456204_P04_WH09,BN002598,good,450,3/21/17,LEP 43228,Pieridae,Pierinae,Pierini,Aporiina,Melete,leucanthe,,Thorax,0.33,66,Melete leucanthe,Melete leucanthe,6/27/17,K.Dexter,,Pier,,381,360,BN002598,,,,,,,
YES,YES,YES,376,,,FMN_456204_P04_WH10,BN002676,good,450,4/12/17,LEP 29613,Pieridae,Coliadinae,,,Rhabdodryas,trite,,Thorax,0.379,75.8,Rhabdodryas trite,Rhabdodryas trite,6/27/17,K. Dexter,,Pier,X,382,368,BN002676,,,,,,,
YES,YES,YES,373,,,FMN_456204_P04_WH11,BN002627,good,450,7/1/16,LEP 33023,Pieridae,Pierinae,Pierini,Pierina,Perrhybris,pyrrha,,Thorax,0.453,90.6,Perrhybris pyrrha,,6/27/17,K.Dexter,,Pier,,383,376,BN002627,,,,,,,
YES,YES,YES,380,,,FMN_456204_P04_WH12,BN002646,good,450,8/19/16,LEP 28731,Pieridae,Pierinae,Pierini,Pierina,Pieris,rapae,,Thorax,0.47,94,Pieris rapae,Pieris rapae,6/27/17,K.Dexter,,Pier,,384,384,BN002646,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WA01,BN000500,low,450,,312,Hesperiidae,Trapezitinae,,,Motasingha,trimaculata,,,0.0107,2.14,Motasingha trimaculata,Motasingha trimaculata,3/26/18,Andy Warren,Andy Warren,Hesp,,385,385,BN000500,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WA02,BN000529,low,450,,31,Hesperiidae,Hesperiinae,,,Notamblyscirtes,simius,,,0.0107,2.14,Notamblyscirtes simius,Amblyscirtes simius,3/26/18,Andy Warren,Andy Warren,Hesp,,386,393,BN000529,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WA03,BN003426,good,450,1/10/18,LEP-59335,Hesperiidae,Pyrginae,Pyrrhopygini,,Mimardaris,,,Abdomen Soak,0.0123,2.46,Mimardaris,,3/26/18,K. Dexter,MGCL,Hesp,,387,401,BN003426,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WA04,BN000514,low,450,,638,Hesperiidae,Pyrginae,Pyrrhopygini,Passovina,Myscelus,belti,,,0.0125,2.5,Myscelus belti,Myscelus belti,3/26/18,Andy Warren,Andy Warren,Hesp,,388,409,BN000514,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WA05,BN000499,low,450,,206,Hesperiidae,Hesperiinae,Moncini,,Morys,micythus,,,0.0159,3.18,Morys micythus,Morys compta,3/26/18,Andy Warren,Andy Warren,Hesp,,389,417,BN000499,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WA06,BN000385,low,450,,351,Hesperiidae,Hesperiinae,Hesperiini,,Hansa,devergens,hydra,,0.016,3.2,Hansa devergens,Hansa devergens,3/26/18,Andy Warren,Andy Warren,Hesp,,390,425,BN000385,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WA07,BN000717,low,450,,310,Hesperiidae,Hesperiinae,Taractrocerini,,Sabera,caesina,,,0.018,3.6,Sabera caesina,Sabera caesina,3/26/18,Andy Warren,Andy Warren,Hesp,X,391,433,BN000717,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WA08,BN000853,low,450,,143,Hesperiidae,Eudaminae,,,Typhedanus,ampyx,,,0.0199,3.98,Typhedanus ampyx,Typhedanus ampyx,3/26/18,Andy Warren,Andy Warren,Hesp,,392,441,BN000853,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WA09,BN000852,low,450,7/26/17,352/05.09.2016,Hesperiidae,Pyrginae,Celaenorrhinini,,Triskelionia,tricerata,,Legs,0.021,4.2,Triskelionia tricerata,Triskelionia tricerata,3/26/18,K. Dexter,Szabolcs Sáfián,Hesp,X,393,449,BN000852,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WA10,BN000355,good,450,7/14/17,CJM-16-2664,Hesperiidae,Trapezitinae,,,Felicena,dirpha,,Legs,0.0225,4.5,Felicena dirpha,Felicena dirpha,3/26/18,K. Dexter,C. Mueller,Hesp,X,394,457,BN000355,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WA11,BN000579,good,450,,553,Hesperiidae,Hesperiinae,Erionotini,,Paracleros,biguttulus,,,0.0228,4.56,Paracleros biguttulus,Paracleros biguttulus,3/26/18,Andy Warren,Andy Warren,Hesp,X,395,465,BN000579,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WA12,BN000471,good,450,,350,Hesperiidae,,,,Lucida (=Ginungagapus),ranesus,,,0.0246,4.92,Lucida (=Ginungagapus) ranesus,Ginungagapus ranesus,3/26/18,Andy Warren,Andy Warren,Hesp,,396,473,BN000471,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WB01,BN000664,good,450,7/26/17,BN-SZS-00588,Hesperiidae,Pyrginae,Tagiadini,,Procampta,rara,,Legs,0.0256,5.12,Procampta rara,Procampta rara,3/26/18,K. Dexter,Szabolcs Sáfián,Hesp,X,397,386,BN000664,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WB02,BN000877,good,450,,349,Hesperiidae,Hesperiinae,Moncini,,Vidius,catarinae,,,0.0267,5.34,Vidius catarinae,Vidius catarinae,3/26/18,Andy Warren,Andy Warren,Hesp,,398,394,BN000877,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WB03,BN000715,good,450,,501,Hesperiidae,Hesperiinae,Moncini,,Remella,,,,0.027,5.4,Remella,Remella,3/26/18,Andy Warren,Andy Warren,Hesp,,399,402,BN000715,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WB04,BN000431,good,450,,65,Hesperiidae,Eudaminae,,,Hyalothyrus,mimicus,,,0.0278,5.56,Hyalothyrus mimicus,Hyalothyrus mimicus,3/26/18,Andy Warren,Andy Warren,Hesp,,400,410,BN000431,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WB05,BN000549,good,450,,127,Hesperiidae,Hesperiinae,Taractocerini,,Ocybadistes,walkeri,,,0.0288,5.76,Ocybadistes walkeri,Ocybadistes walkeri,3/26/18,Andy Warren,Andy Warren,Hesp,X,401,418,BN000549,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WB06,BN000713,good,450,7/14/17,CJM-16-2665,Hesperiidae,Trapezitinae,,,Rachelia,icosia,,Legs,0.03,6,Rachelia icosia,Rachelia icosia,3/26/18,K. Dexter,C. Mueller,Hesp,,402,426,BN000713,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WB07,BN000427,good,450,7/14/17,CJM-16-2661,Hesperiidae,Trapezitinae,,,Hewitsoniella,migonotis,,Legs,0.0371,7.42,Hewitsoniella migonotis,Hewitsoniella migonitis,3/26/18,K. Dexter,C. Mueller,Hesp,,403,434,BN000427,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WB08,BN000665,good,450,7/20/17,MFB-16-P153,Hesperiidae,Trapezitinae,,,Proeidosa,polysema,small-spot form,Legs,0.0403,8.06,Proeidosa polysema,Proeidosa polysema,3/26/18,K. Dexter,M. Braby,Hesp,X,404,442,BN000665,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WB09,BN000430,good,450,,604,Hesperiidae,Hesperiinae,Erionotini,,Hidari,irava,,,0.0462,9.24,Hidari irava,Hidari irava,3/26/18,Andy Warren,Andy Warren,Hesp,X,405,450,BN000430,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WB10,BN000671,good,450,,606,Hesperiidae,Pyrginae,Celaenorrhinini,,Pseudocoladenia,dan,,,0.0492,9.84,Pseudocoladenia dan,Pseudocoladenia dan,3/26/18,Andy Warren,Andy Warren,Hesp,X,406,458,BN000671,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WB11,BN000888,good,450,7/26/17,BN-SZS-00531,Hesperiidae,Hesperiinae,Erionotini,,Xanthodisca,vibius,,Legs,0.0532,10.6,Xanthodisca vibius,Xanthodisca vibius,3/26/18,K. Dexter,Szabolcs Sáfián,Hesp,X,407,466,BN000888,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WB12,BN000740,good,450,7/26/17,BN-SZS-00463,Hesperiidae,Pyrginae,Celaenorrhinini,,Scopulifera,nigropunctata or mulinzii,,Legs,0.0675,13.5,Scopulifera nigropunctata or mulinzii,Scopulifera sp,3/26/18,K. Dexter,Szabolcs Sáfián,Hesp,X,408,474,BN000740,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WC01,BN000440,good,450,7/26/17,BN-SZS-00612,Hesperiidae,Hesperiinae,,,Hypoleucis,tripunctata,,Legs,0.0752,15,Hypoleucis tripunctata,Hypoleucis tripunctata,3/26/18,K. Dexter,Szabolcs Sáfián,Hesp,X,409,387,BN000440,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WC02,BN000812,good,450,8/16/17,LEP 53066,Hesperiidae,Hesperiinae,Moncini,,Thargella,evansi,,Abdomen,0.0942,18.8,Thargella evansi,Thargella evansi,3/26/18,K. Dexter,Ana B. B. Morais,Hesp,,410,395,BN000812,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WC03,BN003353,good,450,12/13/17,LEP 59105,Hesperiidae,Pyrginae,Tagiadini,,Exometoeca,nycteris,,Thorax,0.0998,20,Exometoeca nycteris,Exometoeca nycteris,3/26/18,K. Dexter,Michael Braby/Andy Warren,Hesp,X,411,403,BN003353,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WC04,BN000308,good,450,8/16/17,LEP 53035,Hesperiidae,Pyrginae,Pyrgini,,Diaeus,lacaena,,Abdomen,0.118,23.6,Diaeus lacaena,Diaeus lacaena,3/26/18,K. Dexter,Ana B. B. Morais,Hesp,X,412,411,BN000308,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WC05,BN000478,good,450,7/26/17,BN-SZS-00496,Hesperiidae,Hesperiinae,,,Melphinyet,flavina,,Legs,0.13,26,Melphinyet flavina,Melphinyet flavina,3/26/18,K. Dexter,Szabolcs Sáfián,Hesp,,413,419,BN000478,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WC06,BN000513,good,450,9/15/17,RV-06-A263,Hesperiidae,Pyrginae,Pyrrhopygini,Pyrrhopygina,Mysarbia,sejanus,,Thorax,0.135,27,Mysarbia sejanus,Mysarbia sejanus,3/26/18,K. Dexter,MCZ,Hesp,X,414,427,BN000513,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WC07,BN003427,good,450,1/10/18,LEP-59336,Hesperiidae,,,,Cobalus,calvina,,Abdomen Soak,0.156,31.2,Cobalus calvina,Cobalus calvina,3/26/18,K. Dexter,MGCL,Hesp,,415,435,BN003427,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WC08,BN000490,good,450,8/16/17,LEP 53059,Hesperiidae,Hesperiinae,Moncini,,Miltomiges,cinnamomea,,Abdomen,0.172,34.4,Miltomiges cinnamomea,Miltomiges cinnamomea,3/26/18,K. Dexter,Ana B. B. Morais,Hesp,X,416,443,BN000490,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WC09,BN000554,good,450,8/16/17,LEP 53041,Hesperiidae,Eudaminae,,,Oechydrus,chersis,chersis,Abdomen,0.206,41.2,Oechydrus chersis,Oechydrus chersis,3/26/18,K. Dexter,Ana B. B. Morais,Hesp,X,417,451,BN000554,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WC10,BN000292,good,450,9/15/17,DY-93-H073,Hesperiidae,Hesperiinae,Hesperiini,,Cyclosma,,,Thorax,0.207,41.4,Cyclosma,Cyclosma,3/26/18,K. Dexter,MCZ,Hesp,,418,459,BN000292,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WC11,BN000676,good,450,8/16/17,LEP 53064,Hesperiidae,Hesperiinae,Moncini,,Psoralis,stacara,,Abdomen,0.212,42.4,Psoralis stacara,Psoralis stacara,3/26/18,K. Dexter,Ana B. B. Morais,Hesp,,419,467,BN000676,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WC12,BN000354,good,450,9/15/17,DY-93-H077,Hesperiidae,Hesperiinae,Moncini,,Eutocus,,,Thorax,0.243,48.6,Eutocus,Eutocus,3/26/18,K. Dexter,MCZ,Hesp,,420,475,BN000354,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WD01,BN000904,good,450,7/26/17,BN-SZS-00600,Hesperiidae,Hesperiinae,Erionotini,,Zophopetes,cerymica,,Legs,0.257,51.4,Zophopetes cerymica,Zophopetes cerymica,3/26/18,K. Dexter,Szabolcs Sáfián,Hesp,,421,388,BN000904,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WD02,BN003432,good,450,1/10/18,LEP-59341,Hesperiidae,Hesperiinae,Moncini,,Mucia,zygia,,Abdomen Soak,0.27,54,Mucia zygia,Mucia zygia,3/26/18,K. Dexter,MGCL,Hesp,,422,396,BN003432,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WD03,BN000371,good,450,9/15/17,NP-13-R010,Hesperiidae,Pyrginae,Erynnini,,Gesta,gesta,,Thorax,0.28,56,Gesta gesta,Gesta gesta,3/26/18,K. Dexter,MCZ,Hesp,X,423,404,BN000371,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WD04,BN002815,good,450,11/13/17,LEP 53200,Hesperiidae,Hesperiinae,Moncini,,Gallio,carasta,,Thorax,0.283,56.6,Gallio carasta,Gallio carasta,3/26/18,K. Dexter,H. Romanowski & N. Mega,Hesp,,424,412,BN002815,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WD05,BN003440,good,450,1/17/18,LEP 59353,Hesperiidae,Hesperiinae,Erionotini,,Ankola,fan,,Abdomen Soak,0.292,58.4,Ankola fan,Ankola fan,3/26/18,K. Dexter,Toussaint,Hesp,,425,420,BN003440,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WD06,BN000518,good,450,7/14/17,MFB-13-P049,Hesperiidae,Trapezitinae,,,Neohesperilla,crocea,,Thorax,0.313,62.6,Neohesperilla crocea,Neohesperilla croceus,3/26/18,K. Dexter,M. Braby,Hesp,X,426,428,BN000518,,,,,,,
YES,YES,NO,NA,,,FMN_456204_P05_WD07,BN002816,good,450,11/13/17,LEP 53171,Hesperiidae,Hesperiinae,Moncini,,Ginungagapus,fiedleri,,Thorax,0.314,62.8,Ginungagapus fiedleri,Ginungagapus fiedleri,3/26/18,K. Dexter,H. Romanowski & N. Mega,Hesp,,427,436,BN002816,,,,,,,
